date,Station,O3 ppb,NO ppb,NO2 ppb,NOx ppb,SO2 ppb,PM 10 ug/m3,CO ppm,wind_direction,wind speed,temperature,dewpoint_temperature,sea_level_pressure,station_pressure,relative_humidity
2017-03-21 00:00:00,S1,25.1,29.8,38.2,67.8,4.7,29.3,21.7,20,1,5.2,-3,1005.1,836.3,56
2017-03-21 01:00:00,S1,9.9,26,44,70,3.2,31,22,16.66666667,1,4.866666667,-3.1,1005.833333,836.7666667,56.66666667
2017-03-21 02:00:00,S1,10.1,30,44,74,3.5,27,12,13.33333333,1,4.533333333,-3.2,1006.566667,837.2333333,57.33333333
2017-03-21 03:00:00,S1,11.8,45,43,88,2.9,22,9,10,1,4.2,-3.3,1007.3,837.7,58
2017-03-21 04:00:00,S1,21.9,42,43,84,2.4,26,13,6.666666667,0.666666667,6.533333333,-3.533333333,1007.233333,838.1333333,50
2017-03-21 05:00:00,S1,18.6,33,42,75,3.4,25,12,3.333333333,0.333333333,8.866666667,-3.766666667,1007.166667,838.5666667,42
2017-03-21 06:00:00,S1,17.8,19,39,58,3.3,35,14,0,0,11.2,-4,1007.1,839,34
2017-03-21 07:00:00,S1,33.1,13,37,49,3.6,31,18,86.66666667,1.333333333,11.66666667,-5.1,1007.133333,838.9,30.66666667
2017-03-21 08:00:00,S1,25.7,15,36,51,5.2,32,22,173.3333333,2.666666667,12.13333333,-6.2,1007.166667,838.8,27.33333333
2017-03-21 09:00:00,S1,25.7,29,37,66,3.5,35,15,260,4,12.6,-7.3,1007.2,838.7,24
2017-03-21 10:00:00,S1,22.3,14,40,54,3.8,33,14,253.3333333,3.666666667,12.4,-6.566666667,1007.433333,838.6333333,26
2017-03-21 11:00:00,S1,22.6,9,41,50,3.4,23,12,246.6666667,3.333333333,12.2,-5.833333333,1007.666667,838.5666667,28
2017-03-21 12:00:00,S1,24.7,7,40,47,3.6,18,17,240,3,12,-5.1,1007.9,838.5,30
2017-03-21 13:00:00,S1,25.7,6,37,44,3.5,15,12,243.3333333,3,11,-4.566666667,1009,839.0666667,33.66666667
2017-03-21 14:00:00,S1,20.6,6,37,43,3.6,14,12,246.6666667,3,10,-4.033333333,1010.1,839.6333333,37.33333333
2017-03-21 15:00:00,S1,23.2,6,36,43,3.3,11,8,250,3,9,-3.5,1011.2,840.2,41
2017-03-21 16:00:00,S1,23.2,6,36,42,3,9,5,233.3333333,2.666666667,8.800000333,-3.666666667,1010.866667,840.4666667,41
2017-03-21 17:00:00,S1,19.3,7,36,43,4.1,19,3,216.6666667,2.333333333,8.600000667,-3.833333333,1010.533333,840.7333333,41
2017-03-21 18:00:00,S1,21.6,6,36,42,2.5,18,2,200,2,8.400001,-4,1010.2,841,41
2017-03-21 19:00:00,S1,15.9,7,38,45,3.9,27,1,206.6666667,2,8.200000667,-3.4,1010.1,841.0333333,43.66666667
2017-03-21 20:00:00,S1,23.4,8,38,47,2.8,15,2,213.3333333,2,8.000000333,-2.8,1010,841.0666667,46.33333333
2017-03-21 21:00:00,S1,19.3,10,41,51,2.7,13,4,220,2,7.8,-2.2,1009.9,841.1,49
2017-03-21 22:00:00,S1,18.3,11,42,53,2.9,15,4,230,2,6.5,-0.166666667,1010.433333,841.2,66
2017-03-21 23:00:00,S1,19.2,10,41,52,2.6,10,8,240,2,5.2,1.866666667,1010.966667,841.3,83
2017-03-22 00:00:00,S1,14.5,13,42,55,2.7,6,6,250,2,3.9,3.9,1011.5,841.4,100
2017-03-22 01:00:00,S1,13,18,44,63,3.3,10,4,263.3333333,2.333333333,4.366666667,0.566666667,1012.3,841.8333333,81.33333333
2017-03-22 02:00:00,S1,21.3,22,45,67,3.1,13,3,276.6666667,2.666666667,4.833333333,-2.766666667,1013.1,842.2666667,62.66666667
2017-03-22 03:00:00,S1,22.8,17,42,59,3.5,13,7,290,3,5.3,-6.1,1013.9,842.7,44
2017-03-22 04:00:00,S1,31.3,7,37,44,3.6,9,5,290,3,6.533333333,-7.166666667,1013.933333,842.9666667,38
2017-03-22 05:00:00,S1,29.5,5,34,40,3.5,19,4,290,3,7.766666667,-8.233333333,1013.966667,843.2333333,32
2017-03-22 06:00:00,S1,24,4,32,36,3.5,25,3,290,3,9,-9.3,1014,843.5,26
2017-03-22 07:00:00,S1,26.7,5,30,35,3.7,16,6,283.3333333,3.333333333,9.766666667,-8.5,1013.733333,843.4666667,26.33333333
2017-03-22 08:00:00,S1,32.9,5,32,37,3.8,10,13,276.6666667,3.666666667,10.53333333,-7.7,1013.466667,843.4333333,26.66666667
2017-03-22 09:00:00,S1,29.5,4,33,37,4.2,16,11,270,4,11.3,-6.9,1013.2,843.4,27
2017-03-22 10:00:00,S1,23.9,5,33,37,3.2,10,8,253.3333333,3.666666667,11.4,-5.166666667,1013.166667,843.0666667,31.33333333
2017-03-22 11:00:00,S1,17.5,5,33,39,3,17,5,236.6666667,3.333333333,11.5,-3.433333333,1013.133333,842.7333333,35.66666667
2017-03-22 12:00:00,S1,30.8,5,34,39,3.5,10,5,220,3,11.6,-1.7,1013.1,842.4,40
2017-03-22 13:00:00,S1,27.6,6,35,41,3.5,6,5,216.6666667,2.666666667,10.93333333,-2.066666667,1013.266667,842.5,40.66666667
2017-03-22 14:00:00,S1,25.8,7,36,43,4.1,4,4,213.3333333,2.333333333,10.26666667,-2.433333333,1013.433333,842.6,41.33333333
2017-03-22 15:00:00,S1,29.3,6,36,42,3.7,3,3,210,2,9.6,-2.8,1013.6,842.7,42
2017-03-22 16:00:00,S1,17.2,6,37,43,2.9,7,3,190,1.666666667,9.583333367,-2.566666667,1013.866667,843.2,43
2017-03-22 17:00:00,S1,26,7,38,46,3.1,5,3,170,1.333333333,9.566666733,-2.333333333,1014.133333,843.7,44
2017-03-22 18:00:00,S1,30.3,7,39,46,2.7,4,2,150,1,9.5500001,-2.1,1014.4,844.2,45
2017-03-22 19:00:00,S1,30.1,8,40,48,4.4,3,2,100,0.666666667,9.536666733,-0.9,1013.933333,843.9666667,51
2017-03-22 20:00:00,S1,21.5,10,42,52,3.6,4,2,50,0.333333333,9.523333367,0.3,1013.466667,843.7333333,57
2017-03-22 21:00:00,S1,18.8,9,42,51,2.3,8,2,0,0,9.51,1.5,1013,843.5,63
2017-03-22 22:00:00,S1,19,7,42,50,2.4,11,2,0,0,9.646666667,1.533333333,1012.833333,843.4,63
2017-03-22 23:00:00,S1,18,10,45,55,2.8,10,4,0,0,9.783333333,1.566666667,1012.666667,843.3,63
2017-03-23 00:00:00,S1,17.4,15,45,60,2.6,7,8,0,0,9.92,1.6,1012.5,843.2,63
2017-03-23 01:00:00,S1,13.3,19,46,65,2.7,40.4,8,6.666666667,0.333333333,10.34333333,2.133333333,1013.066667,843.4,68
2017-03-23 02:00:00,S1,10.6,20,46,67,2.4,9,9,13.33333333,0.666666667,10.76666667,2.666666667,1013.633333,843.6,73
2017-03-23 03:00:00,S1,10.8,39,43,82,3,33,20,20,1,11.19,3.2,1014.2,843.8,78
2017-03-23 04:00:00,S1,11.9,30,43,73,2.8,29,16,16.66666667,1,9.593333333,3.566666667,1014.4,843.9,80.66666667
2017-03-23 05:00:00,S1,5.7,22,42,63,3.3,36,21,13.33333333,1,7.996666667,3.933333333,1014.6,844,83.33333333
2017-03-23 06:00:00,S1,11.9,10,40,50,2.8,35,13,10,1,6.4,4.3,1014.8,844.1,86
2017-03-23 07:00:00,S1,14.7,6,38,44,2.7,22,15,6.666666667,0.666666667,6.233333333,4.766666667,1014.633333,843.8333333,90
